ID,E(S1),E(T1),dST
ZINC000104348595,4.4096,3.347124159,1.062475841
ZINC000002558835,1.8197,0.754411464,1.065288536
ZINC000004915403,2.7076,1.640975072,1.066624928
ZINC000004995377,4.313,3.24509503,1.06790497
ZINC000001628997,4.2132,3.14504689,1.06815311
ZINC000005948917,4.5942,3.517668863,1.076531137
ZINC000004006154,2.4564,1.378989194,1.077410806
ZINC000001718628,1.9595,0.879273676,1.080226324
ZINC000000064440,2.7313,1.648044593,1.083255407
ZINC000100762098,4.776,3.688205402,1.087794598
ZINC000000525440,2.2502,1.161064008,1.089135992
ZINC000002041224,2.6309,1.533974421,1.096925579
ZINC000000752134,4.5952,3.486541747,1.108658253
ZINC000005919020,1.9535,0.84461452,1.10888548
ZINC000004768996,2.7245,1.614833084,1.109666916
ZINC000001688998,2.519,1.408407434,1.110592566
ZINC000000088108,4.8516,3.736423996,1.115176004
ZINC000018052089,4.4699,3.354566476,1.115333524
ZINC000009926858,4.9319,3.815734331,1.116165669
ZINC000017147667,4.8075,3.689375492,1.118124508
ZINC000032221739,2.5496,1.429841851,1.119758149
ZINC000033677385,3.1493,2.029314347,1.119985653
ZINC000001734353,2.682,1.560255187,1.121744813
ZINC000032222023,2.5067,1.382744367,1.123955633
ZINC000005952711,1.9321,0.807152592,1.124947408
ZINC000227173892,3.3932,2.267607263,1.125592737
ZINC000001457678,1.9118,0.785971241,1.125828759
ZINC000010040184,2.9704,1.833955572,1.136444428
ZINC000226245047,2.2236,1.079595809,1.144004191
ZINC000010339130,3.2442,2.099930641,1.144269359
ZINC000004013917,3.0802,1.930855353,1.149344647
ZINC000002160290,2.3265,1.173371722,1.153128278
ZINC000005582639,3.8295,2.675424455,1.154075545
ZINC000004006176,1.6572,0.502055698,1.155144302
ZINC000002312120,2.1577,0.993977873,1.163722127
ZINC000017108142,3.4413,2.277076829,1.164223171
ZINC000002069238,2.6794,1.51436861,1.16503139
ZINC000001713880,2.3518,1.185839984,1.165960016
ZINC000000186507,2.8699,1.701950369,1.167949631
ZINC000022113149,2.5422,1.369059756,1.173140244
ZINC000000049435,2.627,1.453376987,1.173623013
ZINC000016930400,2.4122,1.230477558,1.181722442
ZINC000002172036,2.2348,1.052392577,1.182407423
ZINC000100141140,3.0018,1.812904836,1.188895164
ZINC000001600297,1.6099,0.415950678,1.193949322
ZINC000263624463,2.5453,1.345595369,1.199704631
ZINC000004972725,2.2706,1.065217308,1.205382692
ZINC000002312010,2.7491,1.542178657,1.206921343
ZINC000035323903,3.6881,2.4802099,1.2078901
ZINC000016957978,3.9793,2.770296987,1.209003013
ZINC000003845279,3.959,2.747235329,1.211764671
ZINC000002543428,2.8681,1.646207824,1.221892176
ZINC000001440364,2.2268,0.99583369,1.23096631
ZINC000005051894,2.4162,1.17959769,1.23660231
ZINC000078546367,4.2635,3.026505886,1.236994114
ZINC000036333816,1.9236,0.68284005,1.24075995
ZINC000000051627,2.6136,1.364406607,1.249193393
ZINC000000437315,3.1174,1.867918115,1.249481885
ZINC000013207855,2.958,1.707539589,1.250460411
ZINC000004989641,4.2639,3.011539618,1.252360382
ZINC000004429418,5.1726,3.916672283,1.255927717
ZINC000001764684,1.6955,0.438443618,1.257056382
ZINC000095863262,3.9978,2.740214789,1.257585211
ZINC000037370154,2.5426,1.282897591,1.259702409
ZINC000150092550,2.4519,1.188893103,1.263006897
ZINC000013211965,1.9897,0.726674888,1.263025112
ZINC000001390322,2.1779,0.914460732,1.263439268
ZINC000004313447,2.5122,1.248026187,1.264173813
ZINC000000344372,2.0614,0.791824412,1.269575588
ZINC000045068546,2.1234,0.851205121,1.272194879
ZINC000016265631,4.6502,3.37413147,1.27606853
ZINC000001553995,3.6567,2.378765816,1.277934184
ZINC000139362740,2.7908,1.504953467,1.285846533
ZINC000001680760,1.764,0.47564976,1.28835024
ZINC000001674769,2.2137,0.92329083,1.29040917
ZINC000004896472,2.76,1.461496868,1.298503132
ZINC000000070129,1.1721,-0.128410578,1.300510578
ZINC000100751378,3.0306,1.726201165,1.304398835
ZINC000001617253,3.9265,2.619695516,1.306804484
ZINC000000306478,2.383,1.074730412,1.308269588
ZINC000001708119,4.2014,2.892253021,1.309146979
ZINC000001647615,2.2308,0.921241812,1.309558188
ZINC000000356980,2.8586,1.543539227,1.315060773
ZINC000089526122,4.4591,3.143618292,1.315481708
ZINC000001666979,5.1527,3.836942893,1.315757107
ZINC000000198353,1.9574,0.635116704,1.322283296
ZINC000000801821,4.0086,2.685021914,1.323578086
ZINC000096190093,2.6797,1.355045887,1.324654113
ZINC000013207721,2.6569,1.330256305,1.326643695
ZINC000100560837,2.3491,1.019175626,1.329924374
ZINC000005125909,2.3377,1.003888264,1.333811736
ZINC000001653222,3.1148,1.773954443,1.340845557
ZINC000003080766,3.5423,2.199959732,1.342340268
ZINC000082143502,2.5712,1.224335946,1.346864054
ZINC000004957484,2.4656,1.112507993,1.353092007
ZINC000002582146,2.7994,1.445842152,1.353557848
ZINC000006922964,2.9092,1.555022436,1.354177564
ZINC000002899993,1.5538,0.196289405,1.357510595
ZINC000004262786,2.886,1.524621864,1.361378136
ZINC000028643904,3.8229,2.456835311,1.366064689
ZINC000252630661,3.481,2.098025843,1.382974157
ZINC000028284660,2.307,0.921078543,1.385921457
ZINC000003032656,1.1668,-0.219990531,1.386790531
ZINC000100487622,4.9841,3.595678493,1.388421507
ZINC000005006107,4.3628,2.971593289,1.391206711
ZINC000214492268,1.9941,0.601156882,1.392943118
ZINC000000185266,3.2588,1.862326173,1.396473827
ZINC000135827847,4.1679,2.769984056,1.397915944
ZINC000002831365,2.4615,1.062275756,1.399224244
ZINC000005012805,2.2705,0.870732018,1.399767982
ZINC000003861589,1.7637,0.353818898,1.409881102
ZINC000000347534,4.1792,2.764079183,1.415120817
ZINC000005126685,3.1035,1.687498396,1.416001604
ZINC000048369320,4.7184,3.295817072,1.422582928
ZINC000008684361,4.0111,2.575504209,1.435595791
ZINC000003845270,4.1225,2.683832776,1.438667224
ZINC000006188385,2.8615,1.419496078,1.442003922
ZINC000001657260,2.3995,0.954788021,1.444711979
ZINC000000401340,4.0063,2.560810055,1.445489945
ZINC000095971194,1.6539,0.2050161,1.4488839
ZINC000001593112,2.3004,0.849115285,1.451284715
ZINC000072284530,3.9101,2.453733212,1.456366788
ZINC000005031176,3.6973,2.238082898,1.459217102
ZINC000018244520,2.3301,0.870272146,1.459827854
ZINC000000400596,4.7058,3.238727563,1.467072437
ZINC000043214906,3.9756,2.50263209,1.47296791
ZINC000001574054,3.2098,1.730282874,1.479517126
ZINC000001650727,5.2957,3.802392583,1.493307417
ZINC000000110443,5.312,3.809867554,1.502132446
ZINC000001510094,3.7256,2.222855401,1.502744599
ZINC000001734681,1.9289,0.424851526,1.504048474
ZINC000003618086,3.0745,1.568083906,1.506416094
ZINC000005934736,2.6674,1.160176916,1.507223084
ZINC000000096925,5.3193,3.811064855,1.508235145
ZINC000101028043,1.8872,0.378929574,1.508270426
ZINC000000467593,5.3362,3.82069769,1.51550231
ZINC000001764952,5.3284,3.802953138,1.525446862
ZINC000103855581,5.3487,3.810112457,1.538587543
ZINC000001666793,2.8489,1.308408275,1.540491725
ZINC000001578298,3.9,2.35838448,1.54161552
ZINC000000117227,2.0037,0.460199129,1.543500871
ZINC000003078576,2.0337,0.487998291,1.545701709
ZINC000000361350,5.33,3.782552755,1.547447245
ZINC000000055235,1.9844,0.432062546,1.552337454
ZINC000000480720,3.2258,1.669201453,1.556598547
ZINC000006703971,5.362,3.803233416,1.558766584
ZINC000000095312,5.3712,3.808136909,1.563063091
ZINC000255187876,3.0344,1.461496868,1.572903132
ZINC000001608068,4.5191,2.940855296,1.578244704
ZINC000000406802,5.3829,3.803138176,1.579761824
ZINC000000296558,3.4421,1.836600519,1.605499481
ZINC000002471627,4.5623,2.954041938,1.608258062
ZINC000000049852,2.1986,0.579357832,1.619242168
ZINC000003852453,2.8395,1.218235151,1.621264849
ZINC000001584450,3.8557,2.228939869,1.626760131
ZINC000000267435,2.6165,0.970543419,1.645956581
ZINC000005274920,5.4803,3.830521004,1.649778996
ZINC000283087787,2.8789,1.225410796,1.653489204
ZINC000000350007,5.4038,3.748070474,1.655729526
ZINC000038815655,3.6691,2.010432359,1.658667641
ZINC000005537476,5.4195,3.755474695,1.664025306
ZINC000004603066,3.879,2.212558609,1.666441391
ZINC000000370322,5.5596,3.88975477,1.66984523
ZINC000015081945,4.8421,3.171052821,1.671047179
ZINC000005274926,5.503,3.828289669,1.674710331
ZINC000095482134,2.8126,1.126734111,1.685865889
