ID,s1_delta_r
ZINC000016850287,1.135718
ZINC000017129879,1.136726
ZINC000000054457,1.137699
ZINC000006701015,1.13923
ZINC000001646456,1.139851
ZINC000001036880,1.13999
ZINC000032590315,1.141231
ZINC000011657526,1.141286
ZINC000027817786,1.141731
ZINC000002270150,1.148529
ZINC000005600788,1.148808
ZINC000003330474,1.149074
ZINC000001385054,1.152171
ZINC000035528236,1.153598
ZINC000008986437,1.159983
ZINC000032808859,1.160541
ZINC000008997484,1.162024
ZINC000016234396,1.170214
ZINC000016856945,1.173193
ZINC000008686890,1.173387
ZINC000017193969,1.174739
ZINC000252606366,1.175764
ZINC000005613373,1.17732
ZINC000001096153,1.177638
ZINC000005794476,1.178666
ZINC000005776001,1.179174
ZINC000226860425,1.17942
ZINC000016807772,1.180235
ZINC000685939554,1.180272
ZINC000004623572,1.184924
ZINC000048429182,1.185034
ZINC000096792601,1.188036
ZINC000058323588,1.188499
ZINC000254350209,1.189784
ZINC000040081711,1.19084
ZINC000008684361,1.191474
ZINC000038343263,1.191478
ZINC000002469448,1.192361
ZINC000069517910,1.192481
ZINC000016856947,1.194692
ZINC000002160290,1.194819
ZINC000003897849,1.195765
ZINC000000478170,1.198728
ZINC000058180730,1.199066
ZINC000013862833,1.199819
ZINC000001864893,1.200266
ZINC000001512904,1.201695
ZINC000003235217,1.20194
ZINC000675679560,1.206442
ZINC000004700691,1.208442
ZINC000004659151,1.209497
ZINC000058289321,1.210486
ZINC000044025244,1.211028
ZINC000009715106,1.2118
ZINC000020058185,1.212307
ZINC000058271437,1.212677
ZINC000011361361,1.213122
ZINC000008659801,1.21326
ZINC000154108766,1.215354
ZINC000006920978,1.216962
ZINC000000174189,1.2182
ZINC000254294002,1.21861
ZINC000002394694,1.220662
ZINC000013211965,1.22305
ZINC000006667393,1.223729
ZINC000170652129,1.22398
ZINC000104277028,1.225073
ZINC000005234072,1.227602
ZINC000012822096,1.230029
ZINC000001581378,1.231879
ZINC000031917249,1.23253
ZINC000077301621,1.234647
ZINC000022459346,1.234954
ZINC000008110039,1.237513
ZINC000002397369,1.238561
ZINC000009807698,1.243196
ZINC000058268601,1.245154
ZINC000055074089,1.245207
ZINC000001044860,1.246478
ZINC000101925214,1.248212
ZINC000103879724,1.249328
ZINC000000406214,1.252235
ZINC000100511318,1.252773
ZINC000328579960,1.25459
ZINC000067756971,1.254787
ZINC000068216418,1.256295
ZINC000005983902,1.257743
ZINC000001574054,1.260797
ZINC000001580590,1.262289
ZINC000253405090,1.2631
ZINC000000161177,1.263335
ZINC000001667264,1.265045
ZINC000054234209,1.26526
ZINC000254395065,1.265339
ZINC000079060821,1.266102
ZINC000002500926,1.267208
ZINC000044013064,1.267227
ZINC000071771943,1.267806
ZINC000256049705,1.271189
ZINC000066089240,1.271986
ZINC000097980249,1.272261
ZINC000032817550,1.272922
ZINC000228965216,1.273433
ZINC000003134952,1.274695
ZINC000008873085,1.274783
ZINC000096581271,1.275991
ZINC000064291789,1.277553
ZINC000006483269,1.277942
ZINC000253431292,1.284201
ZINC000003168724,1.285956
ZINC000096035226,1.286064
ZINC000096792629,1.287218
ZINC000097995790,1.290039
ZINC000426538062,1.29155
ZINC000002628587,1.292541
ZINC000116277021,1.293143
ZINC000034511496,1.293604
ZINC000001027718,1.295727
ZINC000005086073,1.295877
ZINC000408732862,1.298609
ZINC000225008764,1.300824
ZINC000102915232,1.301989
ZINC000005640979,1.303318
ZINC000004194688,1.310762
ZINC000016248833,1.311378
ZINC000069774941,1.311484
ZINC000058202763,1.312295
ZINC000409247279,1.314163
ZINC000069486628,1.316155
ZINC000004719235,1.31707
ZINC000003845283,1.319014
ZINC000000987918,1.319325
ZINC000040546094,1.319832
ZINC000005959307,1.32037
ZINC000055149269,1.32144
ZINC000013358038,1.321806
ZINC000170621661,1.321862
ZINC000408732393,1.321988
ZINC000008665240,1.32301
ZINC000001674769,1.3253
ZINC000024885791,1.325403
ZINC000000885711,1.326591
ZINC000226859888,1.327956
ZINC000001026419,1.330488
ZINC000000186507,1.332862
ZINC000004751993,1.333751
ZINC000078879134,1.334262
ZINC000002309231,1.33761
ZINC000040107166,1.338392
ZINC000012552560,1.34144
ZINC000000069764,1.34298
ZINC000006277000,1.345406
ZINC000006313287,1.345662
