ID,SMILES,E(S1),E(T1)
ZINC000012032595,CC(/C=N/N1C(=O)/C(=C/C(C)=C/c2ccccc2)SC1=S)=C\c1ccccc1,2.799000017,2.489900015
ZINC000012084583,OC1=NC(=S)S/C1=C\c1ccccn1,2.212300013,1.764300011
ZINC000012116927,CCc1nc2ccc(NC(=O)c3csc(C(C)=O)c3)cc2[nH]1,3.718500022,3.449700021
ZINC000012138786,CC(=O)NC(=S)Nc1cccc(C(=O)N(C)c2ccccc2)c1,3.28960002,3.032300018
ZINC000012139506,CN1C(=O)C(=CNc2cc3c(cc2Br)-c2ccccc2C3=O)C(=O)N(C)C1=O,3.232000019,2.736300016
ZINC000012143806,Cc1nc2cccc(NC(=O)c3cc(=O)c4cc(C)c(C)cc4o3)c2[nH]1,3.633600022,3.148200019
ZINC000012148361,CCn1c(C)cc2cc(NC(=O)c3cc4ncc(C(C)=O)c(C)n4n3)ccc21,3.678300022,3.26700002
ZINC000012273693,COc1ccc(/C=C/C(=O)Oc2cc3sc(=S)oc3c(-c3ccc(Br)cc3)c2)cc1,3.27150002,2.775500017
ZINC000012274129,O=C1c2ccccc2S(=O)(=O)c2cc(-c3nn4c(nnc4-c4ccccc4)s3)ccc21,3.36160002,2.906700017
ZINC000000366084,O=C(Nc1ccccn1)C(=NO)C(=O)Nc1ccccn1,3.761700023,3.430700021
ZINC000012285413,CCOC(=O)c1ccc(/N=C2\NC(=S)N(c3ccc(C)cc3)C23CCCC3)cc1,3.874300023,3.513400021
ZINC000012289024,CC(=O)c1cccc(NC(=O)c2cnsn2)c1,3.730800022,3.244000019
ZINC000012312023,CC(C)N(c1ccccc1)c1ccc(NC(=O)c2ccc3c(c2Cl)C(=O)c2ccccc2C3=O)cc1,3.022900018,2.601200016
ZINC000000366671,Cc1cccc(NC(=O)NC(=S)NC(=O)c2ccccc2)c1,3.055800018,2.783100017
ZINC000012322217,Cn1c(=O)c2c(c3c(c4c2c(=O)n(C)c4=O)c(=O)n(C)c3=O)c1=O,3.656100022,3.431700021
ZINC000012322452,Nc1nc2c(c(-c3ccc(F)cc3)n1)C(=O)c1ccccc1-2,3.38140002,2.997300018
ZINC000012336382,Cc1n[nH]c(-c2cccs2)nc1=O,3.832000023,3.36500002
ZINC000012338983,C=C1S/C(=N\c2c(C)cc(C)cc2C)N(C(=O)c2c(Cl)sc3ccccc32)C12CCCCC2,3.551100021,3.112600019
ZINC000012339798,O=C(/C=C/c1ccccc1)NC(=S)Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1,2.991500018,2.715100016
ZINC000000367803,O=C(Nc1ccc(N2C(=O)c3cccnc3C2=O)cc1)c1ccco1,3.547700021,3.092700019
ZINC000000367860,CC(=O)c1ccc(NC(=O)c2ccc(NC(=O)c3ccco3)cc2)cc1,3.742900022,3.26300002
ZINC000012346527,O=C1C(=O)N(c2ccc3ccccc3c2)C(=O)N1c1ccc(-c2ccccc2)cc1,3.631800022,3.250000019
ZINC000000368073,O=C(Nc1ccccc1)c1ccccc1N1C(=O)c2ccccc2C1=O,3.759600022,3.631200022
ZINC000012358857,O=C1C=Cc2cc(S(=O)(=O)O)ccc2/C1=N/O,2.508800015,2.046000012
ZINC000012360229,O=Cc1cn(-c2ccccn2)c2ccccc12,3.626800022,3.129400019
ZINC000000368444,CCC(=O)/C=C/n1c(=O)oc2ccccc21,3.654600022,3.207400019
ZINC000012364649,CC(=O)Oc1ccc2occ(C=O)c(=O)c2c1,3.482600021,3.000300018
ZINC000012364734,CC(=O)c1ccc(NC(=O)c2ccc(-n3cnnc3)nc2)cc1,3.715700022,3.235200019
ZINC000012367307,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N=[S@@](C)(=O)c1ccc(C(F)(F)F)cn1,4.482100027,4.090400024
ZINC000012367415,CN1N[C@@H](c2ccc(Cl)cc2)/C(=N\OC(=O)c2ccc(C(C)(C)C)s2)SC1=S,3.463800021,2.996900018
ZINC000012368745,N=C1C(=S)N(c2ccc(Cl)c(Cl)c2)C(=O)N1c1cccc2ccccc21,2.387900014,2.058400012
ZINC000012369168,Cc1cc(/C=N\Nc2c(Cl)cc(Cl)cc2C(F)(F)F)c2c(C)ccc(C(C)C)cc1-2,2.279600014,1.936400012
ZINC000012369644,CC(=O)Nc1sc(C)c(C)c1C(=O)c1ccc(Cl)cc1,3.541800021,3.062400018
ZINC000012369891,COC(=O)c1cc(C)nc(Sc2ccccc2NC(=O)Nc2ccc(Cl)cc2)n1,3.37350002,3.33300002
ZINC000012370547,O=Cc1ccc(-c2ncccn2)cc1,3.496700021,3.000500018
ZINC000012371837,CS(=O)(=O)c1c(C(=O)Nc2ccc(F)cc2)ccc2c1C(=O)c1ccccc1C2=O,3.227500019,2.792100017
ZINC000012375281,O=C1NC(=S)S/C1=C/c1ccccc1/C=C1\SC(=S)NC1=O,3.044700018,2.569900015
ZINC000000370322,Cc1cc(C)n(C(=O)c2cccnc2)n1,4.203200025,3.846100023
ZINC000012380112,CC(=O)Oc1ccc(/C=C(/NC(=O)c2ccco2)C(=O)Nc2ccc(C(C)=O)cc2)cc1,3.725200022,3.245100019
ZINC000012380153,CC(=O)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1,3.751000022,3.253300019
ZINC000012380159,CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,3.699800022,3.214900019
ZINC000000372444,CCn1cc(C(=O)NC(=S)Nc2ccc(C(C)=O)cc2)cn1,3.104600019,2.851300017
ZINC000012390755,O=C(Nc1ncnc2ncnn21)c1ccccc1,4.194900025,3.779500023
ZINC000012401254,COc1nccnc1NS(=O)(=O)c1ccc(N2C(=O)[C@@H](C(C)C)NC2=S)cc1,3.810100023,3.428700021
ZINC000000374564,O=C(O)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,3.170200019,2.764900017
ZINC000012415805,S=C1CC(c2cccs2)=Nc2ccccc2N1,3.36720002,2.872400017
ZINC000012420682,CCCCOC(=O)c1ccc(NC(=S)c2nc3ccccc3[nH]2)cc1,2.940900018,2.464500015
ZINC000012420684,CCCCOC(=O)c1ccc(NC(=S)c2ccc3ccccc3n2)cc1,2.790100017,2.320400014
ZINC000012422532,Cc1cc(C(=O)Nc2cccc3c2C(=O)c2ccccc2C3=O)on1,3.204400019,2.786800017
ZINC000012433001,Cc1ns/c(=N/C(=S)N(C)C)n1C,3.621800022,3.28650002
ZINC000012441308,COc1ccc2nc(-c3cccc(NS(=O)(=O)c4ccc(C(C)=O)cc4)c3)cn2n1,3.609000022,3.125400019
ZINC000000377998,CCCn1cnc(C(=O)c2ccc(Cl)cc2)n1,3.482700021,3.001700018
ZINC000012445687,Cc1cc(-c2nc(-c3ccc(NC(=O)Cn4cc([N+](=O)[O-])cn4)cc3)no2)c2ccccc2n1,3.464800021,3.040600018
ZINC000012461958,Cc1ccc(-c2cc(-c3ccc(Cl)cc3)nc(/N=C3/c4ccccc4NC3=O)n2)cc1,3.041300018,2.570500015
ZINC000012463257,Cc1nc2c(sc(=S)n2-c2ccccc2)c(Sc2nc3ccccc3s2)n1,3.227100019,2.800800017
ZINC000012470902,CCC(=O)Nc1ccc2nc3c(=O)[nH]c(=S)[nH]c3nc2c1,3.41180002,2.917600017
ZINC000012471030,[N-]=[N+]=Nc1cccc(S(=O)(=O)c2cccc(N=[N+]=[N-])c2)c1,3.659000022,3.219300019
ZINC000012482091,Cc1ccc2nc(-c3ccc(/N=C4\c5ccccc5NC4=O)cc3)sc2c1,2.850500017,2.352900014
ZINC000012485198,COc1ccc(C(=O)Cn2nnc(-c3ccccc3NS(=O)(=O)c3ccc(NC(C)=O)cc3)n2)cc1,3.678900022,3.189000019
ZINC000012488203,Cc1nc2ccccc2n1/C(=N\S(=O)(=O)c1ccccc1)c1ccccc1,3.925900023,3.495200021
ZINC000012490957,CN(C)P(=NC(=S)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1)(c1ccncc1)N(C)C,3.666100022,3.38620002
ZINC000012493517,O=C1N=C2N=CN=C2C(=O)N1,2.433000015,1.950700012
ZINC000012494864,O=C(/C=C\c1ccccn1)c1ccccc1,3.35460002,2.924700017
ZINC000012495774,CC(=O)/C=C\c1cccc(N=S)c1,0.301500002,-0.115600001
