ID,SMILES,E(S1),E(T1)
TURQOO,Cc1cc(C)c(P(c2cccc3c2Oc2c(cccc32)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,3.42350002,3.117500019
TURSEH,CCCOC1=CC(=O)C(=CC1=O)c1ccccc1,2.854500017,2.430400015
TURWAG,CC1=C(C)SC(S1)=C1SC(=C(S1)C1=C(C2=C(C)SC(S2)=C2SC(=C(C)S2)C)C(F)(F)C(F)(F)C1(F)F)C,2.553300015,2.126500013
TURWIO,CC1=C(C)SC(S1)=C1SC(=C(S1)C1=C(C2=C(C)SC(=N2)c2ccccc2)C(F)(F)C(F)(F)C1(F)F)C,2.497600015,2.369000014
TUSREG,COc1cc(NC(=O)c2c3NC=C(c4ccc(Cl)cc4)c3c(OC)cc2OC)c(C(=O)c2ccc(Cl)cc2)c(OC)c1,3.605600022,3.113000019
TUTGOH,O=C1c2ccccc2C(=O)C1(c1ccncc1)C1(c2ccncc2)C(=O)c2ccccc2C1=O,3.37160002,2.999000018
TUVFOG,CC(C)(C)N1P=C([Si](C)(C)C)P2(P1C2([Si](C)(C)C)[Si](C)(C)C)=C([Si](C)(C)C)[Si](C)(C)C,3.069600018,2.737000016
TUWDOF,CC1=NN(c2ccccc2)c2nc3c4ccccc4C(=O)C(=O)c3c(c3ccccc3)c12,2.424900015,2.036800012
TUWDUL,Cc1ccc(cc1)c1c2C(=NN(c3ccccc3)c2nc2c3ccccc3C(=O)C(=O)c12)C,2.430400015,2.043800012
TUWFUO,c1ccc(cc1)C1=C(N2C(=N1)c1ccccc1c1c3ccccc3ccc1C12N=C(c2ccccc2)C(=N1)c1ccccc1)c1ccccc1,3.33500002,3.026100018
TUWLUS,O=C1N(CC2CC3N(O2)c2ccccc2Cc2ccccc32)C(=O)c2ccccc12,4.084300024,3.716800022
TUWPEI,COC(=O)C(=C(C(=O)OC)P(=Nc1c(cccc1C(C)C)C(C)C)(c1ccccc1)c1ccccc1)[Si](C)(C)C,4.031800024,3.555700021
TUWPOS,COC(=O)C(P(c1ccccc1)c1ccccc1)=C(C(=O)OC)P(=Nc1c(cccc1C(C)C)C(C)C)(c1ccccc1)c1ccccc1,3.242100019,2.979400018
TUWPUY,Brc1ccc(NC(=O)c2ccc(cc2)C=C2N3CCC(CC3)C2=O)cc1,3.102100019,2.794300017
TUYKAZ,CC(C)C1=CC(=O)C2=C(C(=O)CC3C(C)(C)CCCC23C)C1=O,2.397600014,2.068600012
TUYLOO,OC(=O)C=CC(=O)N1CCOCCOc2ccccc2OCCOCC1,3.657300022,3.33900002
TUZCAU,CN1CC(c2ccc(Cl)cc2)C2(CC3(CC(=Cc4ccc(Cl)cc4)C2=O)OCCO3)C21C(=O)c1cccc3cccc2c13,3.34380002,2.908000017
TUZYUI,CCSC1=C(SCC)SC(S1)=C1SC2=C(SC(S2)=C2SC3=C(OCCO3)S2)S1,2.644100016,2.411100014
UBAHAJ,O=C1C2=C(C3c4ccccc4C2c2ccccc32)C(=O)C2=C1C1c3ccccc3C2c2ccccc12,2.776300017,2.407700014
UBAKAM,[NH3+]c1cc(C)c(cc1OC)S(=O)(=O)[O-],3.683000022,3.549200021
UBAKEQ,O=C(NCc1ccccc1)c1ccc(cc1)N=C1C(=O)N(CN2CCN(CC2)c2ccccc2)c2ccccc12,3.199400019,2.757900016
UBEFAK,Oc1ccc(cc1c1ccccc1)C1(C(=O)c2ccccc2C1=O)c1ccc(O)c(c1)c1ccccc1,3.27030002,2.903200017
UBIDOY,COCC1CC2=CC(=O)C=CC32OC1(COC)Cc1cc(OC)c(OC)cc31,3.31270002,2.877100017
UBIDUE,COCC1CC2=CC(=O)C(=CC32OC1(COC)Cc1cc(OC)c(OC)cc31)OC,3.34700002,2.897000017
UBILEW,CC(OCc1ccccc1)C1OCC2C3C(CC=C12)C(=O)C=CC3=O,3.124400019,2.695500016
UBIQIH01,CN1C=CN(CN2C=CN(C)C2=[Se](Br)I)C1=[Se](Br)Br,3.007800018,2.615700016
UBIRAA,CN1C=CN(CN2C=CN(C)C2=[Se](Cl)Cl)C1=[Se](Cl)Cl,3.225500019,2.822100017
UBIROO,CN1C=CN(CCN2C=CN(C)C2=[Se](Cl)I)C1=[Se](Cl)I,2.896500017,2.446800015
UBOCEV,CC(=O)OCC1OC(C(C(OC(C)=O)C1OC(C)=O)N1C(=O)c2ccccc2C1=O)S(=O)c1ccccc1,4.069800024,3.703500022
UBOZES,COc1ccc(cc1)C(O)CNC(=O)C(C(C)C)N1C(=O)c2ccccc2C1=O,4.019900024,3.656000022
UBOZIW,COc1ccc(cc1)C(CO)NC(=O)C(C(C)C)N1C(=O)c2ccccc2C1=O,3.962500024,3.592600021
UBUMIQ,CC1Oc2ccc3ccccc3c2C2C1C=C(C=O)C(C)C12C(=O)Nc2ccccc12,3.470800021,3.032400018
UBUQUG,S=C1N=NC2(CCCCC2)N1Cc1ccccc1,2.645800016,2.160000013
UCAGEM,CCOC(=O)c1cc2C3CC(C(Nc4ccccc4OC)c2nc1C)C3(C)C,4.150000025,3.810600023
UCAHOX,COc1ccc(cc1)N1C(=S)Nc2ccccc2C1=O,3.530000021,3.149300019
UCAVUS,Cc1c[n+](cc(C)c1)[B-](Cl)(B(Cl)c1c(C)c(C)cc(C)c1C)c1c(C)c(C)cc(C)c1C,4.009900024,3.633600022
UCAXEE,Cc1c[n+](cc(C)c1)[B-](Cl)(B(Cl)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,4.070000024,3.622200022
UCAXUR,COC(=O)C=C(N1C=C(C(=O)OC)C(=C1N1CCOCC1)C(=O)OC)C(=O)OC,3.173900019,3.053700018
UCECUC,CCN(CC)C(=S)N=C(Sc1ccccc1O)c1ccccc1,3.40010002,3.107600019
UCEFEN,O=C1c2ccccc2C(C2=CC3=C(S2)C=CS3)(C2=CC3=C(S2)C=CS3)c2ccccc12,3.464200021,3.055700018
UCEWOP,c1ccc2cc(C=Cc3cc4cccccc4c3)cc2cc1,2.298900014,1.915700011
UCIQON,CN1C(OCC1(C)C)=CC(=S)Nc1ccc(C)cc1,3.087600018,2.741500016
UCIQUT,CC1CC(C)(C)N(C)C(O1)=CC(=S)Nc1ccc(C)cc1,2.995800018,2.606500016
UCISAB,COc1ccc(c(OC)c1)C1=CC(=O)C=C(C1=O)c1ccc(OC)cc1OC,2.793700017,2.386600014
UCIVAD,Nc1ccc(Cl)nc1SSc1nc(Cl)ccc1N,3.442300021,2.952800018
UCIVUY,CCOP(=S)(OCC)N(C)NC(=O)C1=COc2ccccc2C1=O,4.095200024,3.605300022
UCIWEI01,CCOC(=O)C1=C(Br)C(=O)C(=C(Br)C1=O)C(=O)OCC,2.873400017,2.482400015
UCIXAG,COC(=O)C1=C(C(=O)OC)C2(N(Cc3ccccc3)c3ccccc3N2Cc2ccccc2)C(S1)=Nc1ccccc1,2.837400017,2.703900016
UCIXEK,CCCCN1c2ccccc2N(CCCC)C21C(=S)N(c1ccccc1)C(=C2C(=O)OC)C(=O)OC,2.100300013,1.916200011
UCIXOU,CCOC(=O)C1=CN(C(=S)C21N(Cc1ccccc1)c1ccccc1N2Cc1ccccc1)c1ccccc1,2.162400013,1.969100012
UCIYIQ,ClC(CN(Cc1ccccc1)c1ccc(Cl)cc1)=CC(=O)c1ccccc1,3.490500021,3.041900018
UCOJUS,S=C1NC(=S)C2(CCCC2)N1,3.153500019,2.865300017
UCOMIJ,CC(C)(C)C(=NN=P(c1ccccc1)(c1ccccc1)c1ccccc1)C(C)(C)C,3.995700024,3.656800022
UCOPIO,Cc1ccc(cc1)C1=CC(=O)C=C(O1)C(=[N+]=[N-])C(=O)N1C(COC1=O)Cc1ccccc1,2.829900017,2.590900016
UCOXEQ,COc1ccc(cc1)N1C(C2C(C(=O)c3ccc(OC)cc3)C3(CN2C)C(=O)Nc2ccccc32)C(C1=O)c1ccccc1,3.850000023,3.42160002
UCUSUG,[Se]=P1(CP(=[Se])([Se][Se]1)c1ccccc1)c1ccccc1,3.181200019,2.764500017
UCUXIA,OC(=O)CC[NH2+]Cc1ccccc1C(=O)[O-],3.999000024,3.628900022
UDACUA,CCN1CCN(CC1)c1nc2ccccc2cc1C=O,3.535900021,3.073800018
