ID,E(S1),E(T1),dST
RAXJOS,3.3436,3.114264006,0.229335994
POYRUT,1.9182,1.67472066,0.24347934
PUJQIV,1.9934,1.748575142,0.244824858
IWUTID,2.9831,2.737549274,0.245550726
EMALAF,3.6221,3.374568334,0.247531666
LEWZUI,4.4558,4.207046938,0.248753062
ASOPEF,4.748,4.497365449,0.250634551
XUVZEV,1.9349,1.684105875,0.250794125
RUTLUO,4.4668,4.213985847,0.252814153
SORGUD,3.6779,3.424120308,0.253779692
VICGAQ,2.0172,1.757971242,0.259228758
QIGMIC,3.5203,3.261015129,0.259284871
SIPRUF01,1.6398,1.375835998,0.263964003
NORYEY,1.8406,1.574506487,0.266093513
FENYIG,2.7088,2.441957192,0.266842808
GUZXOP,3.2314,2.964301937,0.267098063
VELVAL,1.9166,1.648252124,0.268347876
TMCBOT,2.1793,1.910839489,0.268460511
RUYSUZ,4.8432,4.567336864,0.275863136
EKAVIV,3.555,3.278893024,0.276106976
AZLENE,1.9286,1.643653396,0.284946604
QUVWAI,2.0646,1.767707483,0.296892517
NAGYOK,3.5825,3.282240027,0.300259973
HODZAD,3.8876,3.586681259,0.300918741
DURRUG,1.1607,0.859534906,0.301165094
HIBLAF,2.0542,1.742341009,0.311858991
HOBMIU,3.7482,3.434623912,0.313576088
ICECAU,1.3133,0.99934712,0.31395288
HOFVED01,3.6423,3.323873481,0.318426519
HMPYQT,1.5988,1.279861362,0.318938638
GOHKUJ,0.8464,0.527275452,0.319124548
ACEFOG,1.5278,1.20794161,0.31985839
LAXVIQ01,3.6739,3.350268547,0.323631453
DAMNOV,2.5428,2.21718552,0.32561448
OKALUJ,2.0505,1.724876727,0.325623273
PARNEC,2.5321,2.204749907,0.327350093
NAQWAG,1.9316,1.599660712,0.331939288
GIKNIZ,2.0467,1.709992087,0.336707913
WAFTEE,1.5061,1.167940841,0.338159159
FAFJIF,1.6478,1.305350287,0.342449713
KAYTIQ,2.496,2.142735108,0.353264892
VARVUF,4.0553,3.700071196,0.355228804
VUDVIB,1.4125,1.048754874,0.363745126
XIDXUF,2.1883,1.823273178,0.365026822
NAQVUZ,2.0402,1.663912289,0.376287711
NAFZEZ,2.1051,1.726724382,0.378375618
QILWAM,1.8986,1.517705394,0.380894606
COSFIZ,2.1184,1.73730962,0.38109038
ONOBUQ,1.879,1.495729461,0.383270539
WUSGUM,1.9275,1.541537145,0.385962855
YAFNOI,2.4257,2.025644419,0.400055581
LOCZAH,2.2039,1.795735234,0.408164766
YOZFOL,2.5924,2.184205294,0.408194706
KEGROG,1.6372,1.214390714,0.422809286
WIPVUM,3.2417,2.810734356,0.430965644
ABIZAP01,1.9232,1.489280357,0.433919643
KUGGIC04,3.3937,2.956573897,0.437126103
IJICEL,2.0877,1.641664242,0.446035758
UTISEW,2.7489,2.295796556,0.453103444
NIRYUI,3.798,3.341288782,0.456711218
MUDXOY,1.7388,1.276051765,0.462748235
BOFBIH,3.7132,3.24944756,0.46375244
RELWIR,1.5199,1.038360116,0.481539884
HOKGEW,1.71,1.220676549,0.489323451
FARSAS,1.8465,1.355617921,0.490882079
FARSEW,1.9078,1.408625744,0.499174256
BESCEI,2.2047,1.701420494,0.503279506
WUNWOR,1.5589,1.050169867,0.508730133
DOKZAE,1.9037,1.394285332,0.509414668
BESVAW,1.8878,1.361579941,0.526220059
USUBIV,1.942,1.414993214,0.527006786
JUPDIH,1.9419,1.410770003,0.531129997
QIBJIV,3.1737,2.627832877,0.545867123
UGILUS,2.3536,1.807408928,0.546191072
ZUPCAO,2.0227,1.474912734,0.547787266
DEHMET,3.8871,3.334562122,0.552537878
VIVCIM,1.9779,1.415216347,0.562683653
ZAVXOJ,4.6897,4.125208629,0.564491371
APAVUJ,1.8631,1.284895472,0.578204528
XOVRIM,2.7787,2.200477716,0.578222285
KUHWIT,1.2946,0.704639409,0.589960591
IPILUO,3.5414,2.948301629,0.593098371
POBBIR,1.6259,1.030000772,0.595899228
XOVSOT,2.7882,2.184450196,0.603749804
BURWAM,3.3468,2.74152214,0.60527786
UNEXES,2.6701,2.06412135,0.60597865
EWIDOD,1.8845,1.277602815,0.606897185
QITVUK,2.8929,2.276805715,0.616094285
FARSIA,2.0508,1.433442548,0.617357452
WOQSEA,1.9108,1.284922684,0.625877316
DHANTQ01,3.4399,2.808905749,0.630994251
DOXXUL,1.5338,0.901029582,0.632770418
KOHKID,2.176,1.542886831,0.633113169
VAZKOY,2.5263,1.891437755,0.634862245
TAKFAM,2.3067,1.670780448,0.635919552
ZZZBKS01,2.489,1.850321318,0.638678682
RIHVEL,2.3931,1.753040535,0.640059465
SOHXAO,3.1886,2.545262581,0.643337419
KODTIG01,1.3384,0.694816091,0.643583909
SURDOX01,2.6324,1.988348464,0.644051536
FAYYAH,2.5476,1.899900503,0.647699497
TSEFUL01,3.7398,3.080685129,0.659114871
AMEPOS,7.5314,6.870556692,0.660843308
XAWDOP,2.7337,2.071686122,0.662013878
DECYOB,2.6668,2.004691635,0.662108365
COTCUJ,2.5808,1.91742465,0.66337535
BEGREN,1.3892,0.72167375,0.66752625
FAVPAT,2.3777,1.70370081,0.67399919
DOWRUD,2.9556,2.277594846,0.678005154
BEYHAQ,3.3086,2.628431528,0.680168472
JIYKAD,5.2386,4.55747545,0.68112455
XATMIR,3.2653,2.583287803,0.682012197
WUXKIK,2.281,1.597935509,0.683064491
XANQIP,1.6307,0.946140655,0.684559345
HOBNEU,1.9347,1.249294787,0.685405213
IHEDIJ,2.3134,1.623704713,0.689695287
XAXWAX,3.1751,2.477353791,0.697746209
ILEXAY,3.8974,3.197884663,0.699515337
TOLPUH,2.8957,2.195960622,0.699739378
UHAJOC,1.778,1.076211185,0.701788815
FEZCOF,2.8225,2.119904737,0.702595263
UREJIM,1.9335,1.226744693,0.706755307
VERSIC,1.9203,1.205764698,0.714535302
UWOJEX,2.1807,1.46304856,0.71765144
EHELIO,2.3012,1.58345904,0.71774096
QEBFIM,1.9359,1.217476488,0.718423512
YIHCID,2.0518,1.330692272,0.721107728
IJEMIV,2.4085,1.686318162,0.722181838
XUWBUP,3.2722,2.549300754,0.722899246
XUWBID,3.2753,2.550498056,0.724801944
XAXVOK,1.8204,1.083367785,0.737032215
NAKTOL,3.2965,2.54769256,0.74880744
ESOFAV,1.6891,0.938222135,0.750877865
GOJCIR,5.1579,4.402343213,0.755556787
LONZOD,3.6506,2.889280085,0.761319915
CUYJOV,1.7518,0.987039401,0.764760599
QAMKAS,3.67,2.892308715,0.777691285
VOKBON,2.2205,1.439673961,0.780826039
IXEGIB,1.8145,1.030632076,0.783867924
LOFVEI,1.9215,1.133110239,0.788389761
UHAKET,1.854,1.065217776,0.788782224
RELXUE,1.9117,1.121605255,0.790094745
QAHFOX,2.1874,1.396435033,0.790964967
IFUHAS,3.8017,3.010207582,0.791492418
ROCDIX,3.6553,2.855374671,0.799925329
DPOCTT03,3.6926,2.889661045,0.802938955
WUSJOM,2.2964,1.490559293,0.805840707
DOPSAC,3.3553,2.545654425,0.809645575
VEKWUF,2.8878,2.076693021,0.811106979
TIVBUW,2.3747,1.561262695,0.813437305
ZZZIYE05,2.1732,1.357871026,0.815328974
HOTSEQ,2.9131,2.097156,0.815944
JELTEZ,2.5748,1.755897732,0.818902268
YAPNAH,2.7475,1.926758163,0.820741837
MUPXIF,3.6462,2.82326793,0.82293207
XENWIX,3.4567,2.632839776,0.823860224
DHANQU04,2.835,2.006024994,0.828975006
XAXVIE,1.9552,1.126198541,0.829001459
AGALIF,1.9396,1.108173704,0.831426296
YOZFUR,2.8587,2.026678453,0.832021547
DEVXUX,1.107,0.274854268,0.832145732
WAHHUI,2.3214,1.489253146,0.832146854
TRYTAN,1.9313,1.096747634,0.834552366
BOJWEE,2.2737,1.43638138,0.83731862
GIGVOJ,2.9349,2.096802251,0.838097749
FICTER01,3.0998,2.255765854,0.844034146
NAKTUR,2.3361,1.490722562,0.845377438
XUKFUF,1.4735,0.610477053,0.863022947
BOVMAA,3.6952,2.831074883,0.864125117
BEJZEV,1.6985,0.834056865,0.864443135
KIWPUE,4.1249,3.257586492,0.867313508
LARKAT,2.4525,1.58364952,0.86885048
PILFEV,3.6785,2.807455381,0.871044619
JAYMOM,2.4155,1.544446045,0.871053955
VEDLIA,2.4408,1.568737668,0.872062332
VAGQIE,1.9839,1.111232267,0.872667733
TIDCIS,4.1524,3.27900187,0.87339813
FAWNAS10,2.3878,1.514344785,0.873455215
KAPNIZ,4.0306,3.155244386,0.875355614
JARWEH,4.066,3.189421915,0.876578085
VAPQAG,2.3512,1.471848729,0.879351271
VOHZUP,2.6276,1.748088058,0.879511942
NEDQIZ,3.2111,2.328806715,0.882293285
EPYHAT,2.9427,2.057808304,0.884891696
HOBXEB,1.1531,0.25782809,0.89527191
CAMGAA,2.8062,1.907593168,0.898606832
JOQTUE,4.1293,3.230266238,0.899033762
TUPKUK,4.1458,3.246541381,0.899258619
NIJYIP,2.5342,1.628537459,0.905662541
GABBIV,4.0167,3.106318275,0.910381725
VIPSEU,2.5816,1.66632322,0.91527678
MEJWED,2.9564,2.040327695,0.916072305
SOLJAF,2.3437,1.426743099,0.916956901
EJABIB,3.7112,2.793814302,0.917385698
IXEGEX01,1.5544,0.636502043,0.917897957
JUDVAH,4.0977,3.179516962,0.918183038
LEJDOV,1.8729,0.9431474,0.9297526
VENTLG,4.0889,3.156607678,0.932292322
IPOKAA,3.7896,2.855701208,0.933898792
DERTOJ,3.6525,2.714337943,0.938162057
RALTEE,2.1901,1.250527464,0.939572536
LAGXAS,1.9888,1.039747898,0.949052102
LIMFOF,4.4499,3.493884916,0.956015084
HEWMAY,1.3529,0.395251143,0.957648857
HURXOH,3.8157,2.857170624,0.958529376
NOSQOE,2.6006,1.640265575,0.960334425
LOSBOK,3.8096,2.846231638,0.963368362
XITWUT,1.3482,0.384551617,0.963648383
GIKJAL,2.5525,1.588738053,0.963761947
YIFJIJ,2.4962,1.531675731,0.964524269
ZAPZAT,3.2247,2.257131867,0.967568133
UMIXEU,3.2574,2.287499798,0.969900202
MEPSIK,2.5958,1.625329234,0.970470766
JIGPIY,4.1418,3.169911335,0.971888665
CANTRQ01,4.3057,3.324499344,0.981200656
XEYYAB,3.8298,2.848435762,0.981364238
SOBVAH,2.2147,1.232241398,0.982458602
XETMUH,1.3325,0.342156244,0.990343756
DCANTQ,4.3085,3.317587646,0.990912354
IVIQIO,1.4172,0.423355085,0.993844915
UJECIW,3.8513,2.85420458,0.99709542
GEVFES,2.4053,1.407265174,0.998034826
TUQGAO,3.6387,2.639343303,0.999356697
VAXGEI,2.2458,1.24243207,1.00336793
JIYHIJ,3.9044,2.899293883,1.005106117
NABSAK,1.6102,0.603657874,1.006542126
CUKFIY,1.9685,0.961760003,1.006739997
PEGHEQ,3.9244,2.917226201,1.007173799
VOTKEU,2.5616,1.552356401,1.009243599
WINRIU,2.5035,1.49403419,1.00946581
LOSBIE01,3.9,2.889089605,1.010910395
CINKOC,3.366,2.352344583,1.013655417
LEHPOE,1.714,0.69887059,1.01512941
JIYHOP,3.9595,2.94174368,1.01775632
RINFUR,4.1805,3.161775124,1.018724876
TAXMAI,2.3021,1.282851895,1.019248105
KUJZOF,3.4154,2.393406598,1.021993402
FOHHUF,2.2889,1.264378071,1.024521929
QUGHUX,3.5205,2.494660247,1.025839753
TUQKAS,2.4505,1.42397842,1.02652158
GEVNON,1.6732,0.644883157,1.028316843
TAXMEM,2.4031,1.366488879,1.036611121
BEWZOV,2.9614,1.924472405,1.036927595
QEKHUM,3.3662,2.32888835,1.03731165
GAMNEO,1.7928,0.755127455,1.037672545
KUTRUN,4.5103,3.472039598,1.038260402
COCGUZ,4.2613,3.222701467,1.038598533
JITPEH,1.6585,0.619168377,1.039331623
ALAQEK,4.4034,3.363901463,1.039498537
ESUMIQ,1.8704,0.82758055,1.04281945
ECUDAK,4.5062,3.463277524,1.042922476
DAZDUG,4.5308,3.487658946,1.043141054
VIBLOK,4.5194,3.475930829,1.043469171
HOQZIZ,4.6544,3.610001436,1.044398564
NANLIY,1.6555,0.610460726,1.045039274
ECUDEO,4.5116,3.466243568,1.045356432
ODEMEP,4.2328,3.187062686,1.045737314
QACDED,4.2138,3.167220127,1.046579873
WOKMUG01,3.8831,2.83526544,1.04783456
KIGQEW,4.2646,3.215844192,1.048755808
YOCQOY,4.5224,3.47285594,1.04954406
QEHQOM,4.5528,3.503169448,1.049630552
JEGBIG,3.7634,2.712514779,1.050885221
SUDNUC,2.4386,1.387109684,1.051490316
FATBEJ,4.5319,3.480366289,1.051533711
OGEROI,2.4095,1.357305029,1.052194971
DUKFIB,1.6446,0.591279405,1.053320595
CALZOF,4.3338,3.279410041,1.054389959
DNPOQV10,2.8497,1.791871214,1.057828786
RUDNOT02,3.6862,2.628349894,1.057850106
IFOYAF,4.6209,3.561265804,1.059634196
TEGNUR,2.3845,1.323753363,1.060746637
PAVBIY,4.1292,3.06699779,1.06220221
WIQSEU,4.168,3.105469279,1.062530721
SUYSOW,4.1704,3.106555014,1.063844986
VEXNOB,4.3815,3.315299167,1.066200833
PIMLIJ,1.6906,0.623764383,1.066835617
AYUYEZ,4.5894,3.517292169,1.072107831
NEJTIF01,3.8039,2.730909691,1.072990309
REMGAS,4.9061,3.830060092,1.076039908
YIQGEN,3.6962,2.618891209,1.077308791
MENCIS,4.2643,3.182238103,1.082061897
TUCDOM,4.5475,3.464678912,1.082821088
NAWPAF,1.9769,0.892833506,1.084066494
VUBCAZ,4.6167,3.530789027,1.085910973
DOKKEV,2.2796,1.192624309,1.086975691
PUTZIP,3.1187,2.031222758,1.087477242
