ID,E(S1),E(T1)
TBPMTK10,2.082,2.024068879
ZOYQOT,0.819,0.662543361
ZZZBKS01,2.8132,2.159361278
YINJEM,5.8408,3.754140264
FAPMUF,3.9554,2.534470537
ZADNEA,3.3679,1.454667446
CIKSEU,1.6704,1.694786352
IQEBAJ,1.7452,1.429687374
HMPYQT,1.7375,0.693632394
UHAKET,1.7172,0.959447033
LEJDOV,2.1327,1.090932556
WAHHUI,1.3553,0.703414896
XAWDOP,2.715,2.056066773
OHPRDC,2.0285,1.887603668
BIXZUD10,3.007,1.778156664
XIFLAZ,1.8891,0.512907829
TAZCAZ,1.8365,1.773032756
KODTIG01,1.815,1.054387635
PEHYIK,3.6981,3.399439561
JECTUG,4.1162,2.751100555
ECADUI,4.802,3.707162489
CEFYES,3.6822,1.948418444
GAWRIF,3.988,2.58864845
HURXOH,3.8133,2.855374671
UGINAC,4.2095,2.790747577
BURWAM,3.7316,3.174020258
TADQOE,1.8871,0.899146553
DOPSAC,3.4932,2.755372746
MOYGUC01,2.3148,2.153399259
WUSZER,3.3672,1.899410698
JUNBAX,4.2154,2.725222506
QIBGUD,3.6315,2.203743084
KAYZUF01,2.0142,1.856335039
DATMAN,4.6053,4.336959642
DASBAB,4.5982,4.338116127
PELJOG,2.0374,1.887200939
KIZLEL,1.3041,1.154063023
NULGOS,2.0517,0.881241447
TUYKAZ,1.0606,0.910801199
XANQIP,1.6767,0.563004031
XARHII01,3.8497,2.330684303
LOSBOK,3.8419,2.944355975
BOSECH,3.1995,2.674718133
FOHHUF,2.2884,1.263806631
AREGOV,3.59,2.299037435
AREGIP,3.6415,2.398331863
BTYPOD,5.0248,3.528067887
MPCAZU,0.8921,0.90474394
WEDVAC,1.8927,1.70250895
AZULOP,1.9149,1.466177872
KAYHOK,1.3892,0.66523729
TAKFAM,2.2678,1.63660292
FAYYAH,2.61,1.979629929
COSFIZ,2.1792,1.168936778
GIXNUW,4.0562,2.784869913
QIBJIV,3.1735,2.649547581
XEDWOS,4.5753,3.103542711
SURKOF,4.4375,3.033037953
RUYSUZ,4.828,4.620053524
TABBAZ,3.7998,2.411964778
VAVSAN,3.461,1.565826048
FUQHAA,5.6603,3.163543866
LOCZAH,2.2931,1.256040495
UTISEW,2.3569,1.879421198
QUVWAI,2.3128,1.925179901
BEWZOV,3.2304,2.284261641
CAZVIJ,5.7886,3.317968606
YOZFOL,2.3774,1.71546158
XOVRIM,3.0163,2.489517291
DOXXUL,1.5351,0.906167096
IGEZUR,4.5985,2.973336124
TEGNUR,1.4655,0.601181636
XOVSOT,2.8378,2.261730595
SOBVAH,2.5068,1.807735465
CUYJOV,2.4301,1.334610714
IJICEL,2.1392,1.441088954
NUSZIM,4.3003,3.057664277
REMGAS,4.9126,3.836890156
VORLUK,3.9986,2.536021587
MUDXOY,1.8617,1.372951588
ZEZZUB,2.2644,0.94643998
UDUBAX,4.1743,2.925852217
CAMGAA,2.669,1.376766628
XEDWIM,4.2464,2.82114272
SATQAG,4.5614,3.069610086
JITPEH,2.2692,0.88458845
WUPYEM,3.2349,1.736721853
WOQSEA,3.1252,2.501000505
ORODUW,1.3991,0.831553416
SUYSOW,2.2275,1.228535204
SUVDUJ,4.2636,2.753467948
WATKIL,4.3126,2.803809053
HOKGEW,1.7393,1.486014988
PENHEP10,0.6445,0.473361489
KUJZOF,3.4715,2.815809284
KAPNIZ,3.7574,2.820244743
UNEXES,2.2348,1.478667908
YOZFUR,2.5873,2.080665886
DIWWEN,1.9135,0.973673157
ZIDCOE,3.351,1.717339167
SUTVIM,5.9735,4.172216336
COYGEE,4.3929,3.466804123
YOFROB,3.2916,1.567758058
YIHCID,2.1995,1.195261094
QOZHIX,4.2296,2.982696849
JECTEQ,3.9801,2.789631909
SODWOX10,4.0602,3.048602879
DOKJUK,1.719,0.475111183
IJEMIV,2.5922,1.812116501
MENCIS,2.2725,1.357822045
WINRIU,3.1136,1.913574236
CINKOC,3.3643,2.354467073
FEHRAM,4.3909,3.022942521
FIFNEN,3.7277,2.199307625
YAHCOZ,3.7985,2.526878554
FENYIG,1.68,1.392900271
EKAWIW,1.909,0.19645276
XEDWEI,3.9647,2.74307319
XODWOF,1.3079,0.64097832
DUKFIB,1.9072,0.79416222
SEYKUE,1.803,1.541444626
SAMPEB,1.7262,1.276579666
LEJDAH,2.0184,0.263297583
TUQKAS,2.8052,1.816677133
FAVPAT,2.4693,1.480989041
LEJDIP,2.4999,0.97716166
XEFLUP,4.6503,3.03412641
TAXMEM,2.3707,1.418182391
RENSUA,2.4489,0.760912601
ESUMIQ,2.728,1.953724668
BUFJET,1.7233,0.58792968
LEJDEL,2.4361,0.971120727
BUCCEK,1.4025,1.294092928
ZOXRIN,6.2414,3.470300789
VARNUZ,1.7028,0.954739459
FEYBAO,1.3149,0.634202679
DOKKAR,2.6205,1.39967047
IYUYIL,3.269,1.90602307
TMAZPZ,1.7208,1.639013851
SURDOX01,2.6977,1.936252223
LAGXAS,2.5105,1.34979468
CANTRQ01,4.3039,3.134264391
DOWRUD,3.0821,2.394631111
VORMUL,1.6954,0.605426616
TCANTQ,4.3574,2.754746884
HONSIO,3.8636,2.711317477
PUWFIZ,4.4941,2.850449406
RUGMEO,2.576,1.338501946
AZANEU,1.3958,0.186370933
