ID,delta_r,
NAQQOO,1.372812,
NAQXEI,2.107332,
NATGOF,3.851694,
NATWIR,4.194734,
NAVDAP,3.215729,
NAWCET,2.600166,
BESGIS,4.867952,
NAWPAF,1.714255,
NAWPUZ,3.814905,
NAWQAG,0.496549,
NAWSUA,0.013566,
NAXBUL,3.093349,
NAYBAR,0.862749,
NAYBEV,0.751645,
NAYCIB,1.507420,
NAYMIL,4.196329,
NAYRUB,3.962176,
BETNEU,1.950516,
NAYYAO,3.272244,
NAZHON,3.055151,
NAZREL,0.988878,
NAZXES,4.372817,
NECFIN,2.379972,
NECSEW,1.982316,
NEDQIZ,1.544198,
NEFPAR,3.903693,
NEFPEV,5.319912,
NEFQEW,0.272215,
BETNIY,1.148915,
NEGCAD,3.262361,
NEHHAL,0.835786,
NEHSOK,2.280626,
NEHXOO,1.956573,
NEJGEQ,2.190097,
NEJLOF,2.185979,
NEJNOG,3.390896,
NEJTIF01,0.529432,
NEJYOR,2.450877,
NEJYOT,2.618665,
BEVCIO,2.940723,
AEPHOS03,2.253411,
ABEFAP,3.626110,
NEKCIP,0.997211,
NENCUG,2.294368,
NENNAW,4.641604,
NEOLIG,1.669472,
NEPZAM,1.621862,
NEQDOE,3.358751,
NEQGUO,2.956366,
NEQHAV,3.378516,
NEQHOI,3.349987,
NEQJEA,3.421486,
BEVRUP,3.422726,
NEQQUX,0.832048,
NEQVAI01,3.010901,
NEQVOV,4.473765,
NEQZEQ,0.000000,
NERQUX,2.446845,
NESMEG,3.914631,
NETZES,1.906476,
NETZIW,2.618709,
NEVGOL,1.795164,
NEVHAY,1.990525,
BEWZOV,1.451553,
NEVPUZ,1.016645,
NEVQAG,0.978162,
NEVQEK,1.728841,
NEWJIL,3.897119,
NEWKEH,3.286068,
NEWMOS,0.976029,
NEXNUB,2.095633,
NEYGAB,4.570776,
NEYGIJ,3.733140,
NEYYUL,3.012399,
BEXFOC,3.909205,
NEZFUT,2.271494,
NEZKIM,2.425616,
NEZLOT,0.097600,
NEZQOY,1.523423,
NIBVEB,0.358120,
NIBVIF,0.693032,
NIBVOL,1.662609,
NIBVUR,1.864724,
NIBWAY,0.923522,
NIBWEC,2.099673,
BEXHOC,1.679346,
NIBWIG,1.127825,
NIBWOM,0.879195,
NICBUZ,2.466048,
NIDGOZ,3.091414,
NIDHEP,6.891554,
NIDHOZ,5.766378,
NIDJER,6.048253,
NIFCEL,3.722063,
NIFFOY,0.867751,
NIFJUI,0.365236,
BEXLEY,2.544300,
NIFTIF,0.623631,
NIFVAC,2.775519,
NIFVIK,2.709541,
NIGPUP,0.011233,
NIGRON,2.592834,
NIGVAB,0.332637,
NIGVIJ,2.774042,
NIHCUF,6.233698,
NIHDUF,1.627998,
NIHREE,3.603880,
BEXTAZ,1.594931,
NIHZIN,1.373263,
NIJDIU,1.749279,
NIJFUH,1.980110,
NIJLOJ,2.715616,
NIJRUV,3.408312,
NIKPOO,1.817765,
NIKREH,3.314131,
NIKXUC,4.604123,
NIKYOX,4.887321,
NILLOJ,1.329429,
BEYDIV,1.832704,
NILMIH,3.773273,
NILNAA,3.590621,
NILXIP,0.565200,
NILYEN,0.225275,
NIMDOF,5.077886,
NIMREH,2.116967,
NIMYAM,2.903442,
NINQUX01,1.215529,
NINRAE,0.731892,
NINTAF,0.298622,
BEYJUM,3.031928,
NIPCOT,4.035557,
NIQPEJ,3.829938,
NIQROV01,3.892636,
NIRLEG,2.642379,
NIRYUI,0.000000,
NISGED,0.604877,
NISGUT,0.777983,
NISVUI,3.971536,
NISWAP,4.064193,
NIVXOF,2.869378,
BEYNUQ,2.557294,
NIWDUS,2.941641,
NIWFIK,4.164795,
NIWGUW,0.994952,
NIZDOR,2.174763,
NIZREU,3.782986,
NNOXDT,2.947434,
NOBBEO,1.448614,
NOBBUE,3.756269,
NOBJOG,2.103685,
NOBTED,2.735127,
BEZYAI,2.628357,
AFAFAP,1.778869,
NOBXEH,3.063615,
NOCMEX,0.327442,
NOCMIB,2.313601,
NOCRUS,0.000000,
NOCSON,0.823279,
NODDAN,4.211433,
NODHUJ,1.614609,
NOFWIR,3.764779,
NOGKUP,0.014081,
NOGQEH,2.539973,
BIBFEX,1.138803,
NOGQOR,3.911279,
NOGWEO,0.513049,
NOHFUN,3.360759,
NOHZOB,2.958536,
NOJNIM,
NOJTIP,2.403152,
NOJZET,2.489539,
NOKPIP,2.578505,
NOLFAY,3.529948,
NOLHII,2.166772,
BIBPOT,0.702494,
NOLNAF,3.506246,
NOLSAK,0.744983,
NOMGAA,3.462067,
NOMLIK,3.818556,
NONMUB,0.553960,
NONNAI,0.427301,
NONZEW,0.866722,
NOQJUZ,2.953952,
NORMAJ,4.112186,
NORMIR,4.301791,
BIBWUF,2.219611,
NORVUL,2.126601,
NORYEY,2.303371,
NOSJEK,2.884332,
NOSVID,0.004008,
NOSWAT,3.911117,
NOTHEL,2.292061,
NOTMUH,4.483465,
NOTQIZ,3.985760,
NOVKOA,1.633500,
NOVNIX,4.172425,
BICQIQ,4.036149,
NOVSUP,2.548909,
NOVXUT,3.468805,
NOVYAA,2.867030,
NOVYII,1.792006,
NOXGIS,5.444899,
NOXGOZ,2.507161,
NOYJUJ,2.228940,
NOYWED,0.392451,
NPINDO,3.201910,
NPNOXT,3.549604,
BIDGAZ,2.239424,
NTMTPN,2.615080,
NTRTAC01,1.045341,
NUBHUQ,1.999601,
NUBJIG,0.623169,
NUDBAQ,0.407530,
NUDHIE,0.031862,
NUDHOK,0.421153,
NUDHUQ,0.555037,
NUDJAY,0.132308,
NUDMUV,2.768556,
BIDVIU,2.735245,
NUFQEM,2.154500,
NUFSEO,4.707182,
NUFWAP,1.194627,
NUHHOP,3.581843,
NUHQIT,3.513903,
NUHQOZ,3.783618,
NUJHIM,5.843791,
NUJJUX,2.364340,
NUKGIL,1.952132,
NUKPIV,7.864254,
BIDZUK,3.190343,
NULGOS,0.930033,
NULMAK,2.546792,
NULVIC,2.236229,
NULWAV,1.200318,
NUMBIJ,0.653342,
NUMKUC,6.257804,
NUMWUO,2.089904,
NUNFEH,0.954459,
NUNGUA,1.062212,
NUNPIY,5.394165,
BIGBAU,0.743135,
NUNPOB,0.100861,
NUNYOM,1.300802,
NUNZAA,5.307250,
NUNZEE,5.447662,
NUPJIR,6.112734,
NUPPUL,2.182307,
NUPRUM,0.299279,
NUPVUR,0.862238,
NUQDIN,4.833638,
NUQPEV,3.495104,
BIGXEU,0.447439,
NURFIQ,2.286665,
NURGEN,3.114588,
NUSZIM,1.933027,
NUTNAT,4.036805,
NUTPAU,1.479834,
NUTPUN,0.000000,
NUVFOZ,0.156405,
NUXJAU,2.855061,
NUYDES,0.611679,
NUYYOY,2.603662,
BIGXOE,1.120471,
AFALEB,4.860877,
OBEJEK,2.051521,
OBIPUN,1.157165,
OBIWAX,2.354885,
OBIYIH,3.888790,
OBOMAW,2.864975,
OBUHAW,4.309251,
OBULEE,3.093091,
OBUVOW,1.885266,
OBUYUH,3.375944,
OCAKAG,3.453492,
BIHHUW,1.424921,
OCAKUA,2.493186,
OCAPUF,5.662430,
OCAQIU,3.208112,
OCAWOE,1.608497,
OCAXAT,3.162071,
OCEMIS,3.945678,
OCOGES,2.814885,
OCOHOF,0.987396,
OCOJIZ,0.309591,
OCUFID,0.240368,
BIHJAE,3.140686,
OCUKUT,2.097600,
OCULEE,2.574858,
OCUPAE,1.487977,
OCUPEK,2.685117,
ODAGIM,0.842647,
ODEBOP,0.029475,
ODEHIP,3.694476,
ODEMEP,0.840019,
ODESUO,1.559739,
ODEWOM,3.656673,
BIHJEI,3.216708,
ODIFAK,2.322221,
ODIFEO,1.868034,
ODOGEV,2.662642,
ODOLEA,2.196751,
OFALIT,2.204177,
OFALOX,0.061560,
OFAZEB,2.982869,
OFEHAJ,1.753068,
OFEMAO,4.462508,
OFEXUV,4.667542,
BIHJIM,1.665625,
OFIHUH,1.383875,
OFOCET,3.194546,
OFOHOI,1.944984,
OGADAE,3.736413,
OGADIM,4.184182,
OGENAP,4.022150,
OGEROI,2.184358,
OGIGUJ,0.060887,
OGIZOW,1.328406,
OGUDIF,3.944650,
BIHMOX,5.394805,
OGUJIM,4.355967,
OGUSAN,2.853498,
OHADEG,0.565160,
OHEFIT,3.885193,
OHEFOZ,4.954127,
OHEKES,3.386108,
OHENAT,3.174225,
OHENEX,3.268127,
OHENIB,3.231960,
OHENOH,3.267260,
BIHROA,3.441666,
OHENUN,2.284208,
OHIVAC,2.646745,
OHOJAW,2.219027,
OHOLOO,1.058513,
OHPRDC,0.654363,
OHUMAG,0.712582,
OHUPAJ,2.985222,
OJECEN,2.556251,
OJECEO,4.998060,
OJEKUL,2.390373,
BIHSAN,6.778278,
OJINOM,2.179308,
OJOHUR,4.120552,
OJOJIH,3.275007,
OJUSIV,0.004909,
OKALUJ,3.257398,
OKAVUS,3.513587,
OKAXOO,0.297006,
OKAXUU,0.202257,
OKEQUR,0.000000,
OKIDES,0.000051,
BIJLIR,0.647186,
OKIQUU,1.567245,
OKUCED,2.117800,
OKUJEK,0.894984,
OLIFOG,1.722810,
OLISUX,3.360264,
OLOGEB,0.952028,
OLOYAQ,1.871199,
OLOYIY,2.390376,
OMIWOW,3.038713,
OMOXEV,5.290080,
BIJLOX,0.722186,
OMUKUD,0.713396,
OMUMIT,2.985837,
OMUNOA,2.241489,
ONADIS,0.516550,
ONAHIW,0.000187,
ONIZOC,2.512204,
ONOBAW,1.064465,
ONOBUQ,1.666578,
ONOCAX,1.591814,
ONUMAN,2.018317,
BIKMOX,3.361289,
AFAMUS,3.341547,
OPAVAD,2.939327,
OPEFUM,1.009910,
OPEKUQ,4.779571,
OPHPHA10,4.393711,
OQADOB,1.622053,
OQAYEL,1.566828,
OQAYIP,2.355654,
OQERIM,3.383128,
OQEWOX,0.280216,
OQEWUD,1.526684,
BIKPET,7.327181,
OQODEF,2.660832,
ORECAR,5.629013,
ORECEV,5.632069,
ORECIZ,5.630102,
ORERUZ,1.517472,
ORIHEE,2.385413,
ORISEP,3.822662,
ORODUW,1.215807,
OROHOU02,0.105852,
OROJAH,5.184020,
BIKPOA10,1.736836,
ORURID,0.017122,
OSAFIZ,1.968347,
OSIBUP,1.508695,
OSITUG,1.490991,
OSIZAT,5.479324,
OSUZIM,2.430941,
OTIHOP,3.784815,
OTIHUV,2.575304,
OTOHEL,2.057573,
OVIHAD,3.686358,
BILBAA,2.119921,
OVIHEH,3.756037,
OVIHIL,3.744544,
OVIRES,4.151316,
OVODOU,0.941695,
OVOMUJ,7.032616,
OVONEU,4.107953,
OVUSOO,1.164550,
OVUVEI,0.751924,
OWOJOA,3.439109,
OWOJUG,3.439926,
BILDEH,2.268064,
OWUKOI,4.005050,
OWULOJ,3.839354,
OXAKOP,2.738476,
OXAKUV,3.648242,
OXEJAE02,2.924002,
OXIMAL,1.556090,
OXOFEN,4.347872,
OXSRAN,1.522463,
OXUWAG,3.509350,
OYACIC,3.491562,
BILDIL,2.232295,
OYANAE,3.706493,
OYANEI,3.710408,
OYEHAD,3.537445,
OYOJES,3.279835,
OYUYIS,7.246009,
OZAHEE,3.246377,
OZEFOQ,0.000000,
OZITAT,4.704642,
PABDAZ,3.319620,
PABWEW,8.059399,
BILSAQ,1.360148,
PABYIA01,0.194396,
PADSAR,1.666652,
PADSEV,1.395279,
PAGJIR,0.329625,
PAGJOX,0.942403,
PAGJUD,1.284413,
PAGSIA,3.169831,
PAGYOM,3.714326,
PAHPEV,2.057754,
PAHVUR,3.015363,
BIMGUC,2.230929,
PAJFIQ,3.782604,
PAJHIU,0.534268,
PAJHOA,0.516315,
PAKCUB,3.479098,
PAKDIR,1.986022,
PALMOG,1.566509,
PAMFEO,2.931190,
PAMKUK,1.730224,
PAMLAR,1.393039,
PAMLEV,0.805226,
BINLIT,0.604607,
PAMNUP,1.237608,
PAMQIE,5.729238,
PAMQOK,2.335229,
PAMZOT,3.689747,
PANBEL,2.183963,
PANQUO,0.507295,
PAPPHI,6.477184,
PAQJOH,3.829736,
PAQMAX,3.634583,
PAQNIG,1.062395,
BINRAU,3.063948,
PARCER,2.248107,
PARKEB,1.607590,
PARLIG,6.571892,
PARNEC,1.744970,
PARQIL,2.780952,
PARVAI,2.737051,
PASPLB02,1.014328,
PATGOI,1.471317,
PATXEQ,4.473760,
PATZUG,1.085026,
BINREY,3.490249,
AFANAZ,4.194888,
PAVBEU01,1.099642,
PAVBIY,1.169755,
PAVCOH,4.757884,
PAVDUO,2.151660,
PAVFAW,1.569412,
PAVHUR,2.346419,
PAVJUS,0.416773,
PAVVEQ,2.091077,
PAVVIT,3.402088,
PAWDEZ,0.050592,
BIQKUK,2.768682,
PAWKUW,2.616810,
PAWRAI,6.068467,
PAWVAN,1.221772,
PAXWAN01,2.586038,
PAYMOU,4.417911,
PAYNAH,2.894654,
PAYTIT,3.643056,
PAYXAO,3.525381,
PAZHUT,0.472471,
PAZRIU,4.148636,
BIRJOE,2.814117,
PBMTXE,2.892419,
PBOSEU,3.608279,
PBZDOC10,3.595364,
PEBBEE,1.954317,
PEBWAX,1.129297,
PECDIN,3.049670,
PECPOE,3.303353,
PEDYAZ,2.857239,
PEFDIQ,3.465070,
PEFZAE,2.480524,
BIRKIW,0.000000,
PEGHEQ,0.200355,
PEGJIV,4.445786,
PEHYIK,0.442771,
PEJHOB,7.209898,
PEJPAY,2.464896,
PEJXIM,3.072033,
PEJYEJ,3.459572,
PEKGAN,0.200133,
PELJOG,0.588962,
PELTOS,2.173170,
BIRNIC,3.931401,
PELWAE,1.754891,
PEMBAK,0.986157,
PEMBEO,0.082031,
PEMSOQ,0.966581,
PENHEP10,0.958258,
PENJEX,1.117283,
PEPVUE,3.444838,
PEQCOF,3.944378,
PEQDAS,3.761249,
PEQDEW,3.775926,
BIRQIF,3.392080,
PEQDIA,3.637980,
PEQFUO,2.235242,
PEQZOC,1.273473,
PERNUV01,3.168864,
PERNUX,3.001557,
PERQAE,3.294333,
PESJII01,0.760324,
PESLIL,2.449925,
PESNAD,1.376514,
PESNUZ,4.753113,
BISFAM,2.450576,
PETDUN,1.410630,
PETFAV,1.046632,
PETRAJ,1.952923,
PEVBIE,3.809417,
PEVLIM,3.688221,
PEVRAK,1.626466,
PEWFOM,0.000000,
PEWPUD,2.807586,
PEXCUS,1.003109,
PEXRIT,1.301591,
BISFEQ,3.014940,
PEXSAP,2.274319,
PEXYOG,0.000000,
PEXZAY,3.562465,
PEXZEX,1.396794,
PEYKUC,1.930357,
PEYLIQ,3.700323,
PEYVOH,2.744741,
PEZCAB,1.838183,
PEZFEG,1.884090,
PEZFIK,2.141351,
BISFUG,2.382526,
PEZVEY,3.459411,
PHEPHR,4.787000,
PHOGLY,1.529076,
PIBBIN,2.033734,
PIBXAC,1.583747,
PIDFAJ,1.578659,
PIFHAQ,2.575799,
PIGKIA,2.391342,
PIGKOG,1.811565,
PIHBAM,3.655979,
BISREA,1.960595,
PIHJOI,0.884101,
PIHNAX,2.665676,
PIJFOG,2.843940,
PIJXEM,2.956097,
PIJZOZ,2.619813,
PIKBIX,4.351086,
PIKCAQ,4.018527,
PILFEV,0.276503,
PILVAI,3.332242,
PILZUG,1.436440,
BIVBAL,1.491870,
AFAZEM,3.907956,
PIMKAX,2.690803,
PIMMIK,1.493200,
PINWIU,2.797772,
PIODZT,2.654483,
PIPAMP,2.093943,
PIPXUJ,2.285873,
PIQCEZ01,3.278592,
PIQXAR,4.904982,
PIRGIG,1.268286,
PIRGOM,0.008422,
BIWNUT,2.022959,
PIRQIT,1.705791,
PIRRAM,0.000573,
PIRREQ,0.000107,
PIRRIU,0.001403,
PIRROA,0.000124,
PIRRUG,0.004386,
PIRSAK,0.157553,
PIRSAN,0.003265,
PIRSER,0.037351,
PITCTZ10,1.048107,
BIWQOQ,3.827619,
PITGUU,3.747119,
PITJIM,0.544376,
PITXUL,1.493486,
PIVWIA,2.368094,
PIVXUO,5.477113,
PIWJIP,3.645541,
PIWJOV,3.865155,
PIWTAT,1.663789,
PIXGAF,3.768084,
PIXMAM,3.189525,
BIXJID,4.863016,
PIXTEY,1.317295,
PIYFIP,9.433342,
PIYMUI,1.484347,
PIYQOD,2.769357,
PIYQUJ,3.660337,
PIYRAQ,2.795163,
PIYTEX,1.882490,
PIZMAN,1.942517,
PIZWON,1.165448,
PIZYAY,0.960760,
BIXKUR,2.210682,
PMANAQ,6.160832,
POBJUN,3.501911,
POBRAA,1.746688,
POBRII,1.719341,
POBYOW,3.809691,
PODTAD,2.432691,
POFKIG,3.954815,
POFMED,2.992610,
POFYEP,2.520135,
POGDAT,1.482462,
BIXMAY,4.147097,
POHTEM,0.471815,
POHYIW,6.609090,
POHZUJ,2.252110,
POJRIR,3.756088,
POKFUQ01,1.674728,
POKNUY,0.000000,
POKPAG,0.000000,
POLJAB,0.026307,
POLQEO,2.312107,
POMLIP,4.474241,
BIXMIG,3.787831,
PONPOY,1.900842,
PONPUE,0.990372,
PONSOB,3.786036,
PONXUN,2.434687,
POPJEJ,1.617780,
POQJAI,0.988838,
PORLIS,2.911327,
PORPIW,3.629939,
PORQIX,1.563751,
PORQOD,2.600648,
BIXMIH,2.524445,
POSSEV,7.326304,
POTKEQ,2.303245,
POTSEZ,5.486788,
POTSUP,4.897043,
POTTEA,6.961589,
POVBOU,6.318588,
POVQID,4.286252,
POVSAW,1.607365,
POVWAA,3.547957,
POVZOP,2.692832,
BIXMOM,3.939860,
POWLUL,3.795331,
POXWAC,7.333084,
POXZIL,3.145057,
POYJAQ,3.189957,
POYRIF,1.342859,
POYTAA,3.502946,
POZGUJ,3.887833,
POZLEW,0.063108,
PRPCYM,3.608569,
PSBTTP,0.517729,
BIXNON,3.423501,
PSPLCA,1.914686,
PUBYIX,3.149638,
PUDFOM,4.247826,
PUDJAC,
PUDKAD,6.939060,
PUDKEH,1.512304,
PUFBEA,6.220552,
PUFBIE,6.424362,
PUFHEG,2.493330,
PUFNAG,0.152939,
BIXZOX10,1.647954,
AFAZOZ,4.017079,
PUHHAD,1.280277,
PUJKAH,1.642159,
PUJQER,3.370878,
PUKNAL,1.118406,
PULDOS,3.477790,
PUMZIJ,8.027647,
PUNHEO,4.525624,
PUNHUE,4.524983,
PUNPOD,1.822395,
PUNTIE,4.300850,
BIXZUD10,1.629011,
PUPGOW,1.688293,
PUPKOD,2.879460,
PUQLEU,4.570577,
PUQQUQ,3.745707,
PUQYEH,0.000005,
PUQYIL,0.000002,
PURBAI,1.096860,
PURKIY,1.551650,
PURKUK,2.294805,
PURPIE,5.986928,
BIYMIH,2.716748,
PUSJIZ,0.927084,
PUSJOF,5.965557,
PUTGIX,0.717980,
PUTHUK,2.050530,
PUTJAS,1.539993,
PUTLAT,2.995996,
PUTLEX,3.120117,
PUTZIP,1.167778,
PUVFEU,4.858788,
PUVJUM,0.000110,
BIYRAE,1.231722,
PUVLID,1.567708,
PUVLUP,0.866613,
PUWFIZ,0.450068,
PUWMOK,5.332100,
PUWNAX,5.353937,
PUXPAB,1.473232,
PUXVOV,1.477785,
PUYQIL,1.041780,
PUYWIP,3.896353,
PUYYUD,2.962851,
BIYWUC,2.954652,
PUZHAV,1.952341,
PUZXOZ,2.192501,
QADNEQ,1.699224,
QADNIU,2.043799,
QAFKOZ,2.207329,
QAHXAB,2.031040,
QAJKIX,3.507437,
QAMNOH,4.616655,
QAMXUY01,4.671122,
QANDIU,0.203634,
BIYZUH,2.406671,
QANLUN,1.314836,
QANZUB,0.000000,
QAQFUL,4.969094,
QARHAV,2.275008,
QARHEX,3.369884,
QASCAP,0.386009,
QASDAS,1.600591,
QASDEW,2.140456,
QATFAT,2.433746,
QATNAB,3.673699,
BIZKUR,0.194510,
QATZUH,1.986923,
QAVJOP,3.989094,
QAXVOB,0.995101,
QAZRUH,1.620041,
QAZSOC,4.937068,
QECNIV,3.875378,
QECSIC,3.876434,
QEDLIW,2.195602,
QEDMOE,1.767431,
QEDRUM,4.996965,
BOCHEG,1.248717,
QEDVED,2.607012,
QEFBAH,3.862526,
QEFTON01,1.870203,
QEGTEC,4.365356,
QEHQIG,2.315194,
QEHQOM,2.909454,
QEHQUS,2.107913,
QEKHUM,1.375753,
QEKPUR,0.000073,
QELHOE,4.363602,
BOCNEN,2.947974,
QELHUK,1.014308,
QELJOG,3.734629,
QELZUD,5.071219,
QEMJIC,3.587159,
QEMRUY,0.001215,
QENQAE,6.841809,
QEPGAW,1.197634,
QEPPEJ,2.576894,
QERKEE,2.789782,
QERMAC,2.655739,
BODBAZ,1.754247,
QERMEF,1.715347,
QESRAK,3.772565,
QESREO,3.610203,
QESROY,3.951941,
QETNOT,3.106081,
QETPEN,6.589429,
QEVXAQ,0.239464,
QEXLIP,1.647124,
QEXLUB,1.744946,
QEYVAR,0.270202,
BODBUR,0.000000,
AFEJIG,2.375948,
QEZFEG,2.392516,
QEZROD,3.672773,
QIBGUD,0.238077,
QIBJIV,1.203131,
QIBJOB,1.262784,
QIBKER,1.807125,
QIBMEU,4.463258,
QICLAQ,1.232607,
QIFFAN,3.146535,
QIFHAP,1.822057,
BOFBIH,0.013162,
QIFKEV,0.995446,
QIFKIZ,1.605817,
QIGMIC,0.003836,
QIKBOD,3.094174,
QIKLIH,2.488514,
QIKWAL,4.836384,
QIKWOZ,3.028798,
QILTUC,2.173376,
QIMKIG04,0.977255,
QIMQAH,4.731935,
BOFCIL,0.755018,
QIMQEL,4.715893,
QIMQIP,4.785337,
QIMQOV,4.944515,
QIMQUB,3.783544,
QIMRAI,5.020366,
QIMREM,4.779787,
QINPUY,5.268351,
QINTAI01,1.337759,
QINWUI,0.018895,
QIPGAA,1.182624,
BOFPAP,3.190704,
QIPGII,1.161253,
QISSET,2.695223,
QITMAK,2.463463,
QITTAR,3.360895,
QITVOE,0.000000,
QITVUK,1.448985,
QIVRET,3.484283,
QIWGAH,2.964691,
QIWMAM,2.594448,
QIWQUK,4.619828,
BOGHEM,2.894667,
QIWXID,4.984843,
QIWYEA,4.214453,
QIXQUK,0.000012,
QIXXAY,3.339321,
QIYYUU,2.294496,
QIZBOT,2.983122,
QIZLOB,1.963853,
QIZXOM,3.092228,
QOBNAZ,5.917584,
QOCDEU,1.284821,
BOGJUC,2.556503,
QOCJEA,1.338059,
QODTAF,1.728380,
QODXAK,1.006271,
QOFDUM,1.575938,
QOFFEY,3.756987,
QOFWAL,0.677422,
QOHRAH,2.403422,
QOHVAL,3.523675,
QOJHUT,4.171217,
QOJJEF,4.321876,
BOGJUE,0.992095,
QOJSUF,1.574798,
QOKMEL,0.003547,
QOKROA,1.945645,
QOKWUL,2.481747,
QOKXEW,1.798168,
QOLNOV,2.891847,
QOLTAN,2.175064,
QOMRIV,3.523550,
QONGAC,2.375241,
QOQVAV,2.909521,
BOGYEC,1.743765,
QOQXOL,1.646737,
QOQXUR,1.645624,
QOSDUA,2.134914,
QOTDOT,2.365439,
QOTXUV,6.056610,
QOTYAC,6.079949,
QOVCOV,1.921752,
QOVPID,3.196783,
QOVPUP,3.152028,
QOWQIC,2.937157,
BOHHUD,0.000000,
QOXLEX,7.419114,
QOXLIB,6.620582,
QOXPID,4.369584,
QOXYIO,4.630427,
QOYQIH,1.126148,
QOZHIX,0.479417,
QOZTUX,1.051044,
QOZZEK,3.231393,
QQQAWY01,2.609681,
QUBGOK,1.390530,
BOJWIH,2.930283,
QUBVEQ,2.152157,
QUDQUD,2.197562,
QUDVOC,1.862597,
QUFCOJ,1.797505,
QUGHUX,1.078358,
QUGJAF,3.299119,
QUGJEJ,3.309594,
QUGTUK,3.341577,
QUGVAS,3.301907,
QUHLUD,2.599463,
BOJXAC,2.634866,
AFERAH,1.958510,
QUJKAK,4.799482,
QUJLIQ,1.660416,
QUKQUL,2.531793,
QULQIZ,4.964474,
QUMVEB,1.913727,
QUMWAZ,4.236281,
QUNZIK,1.272010,
QUPMAS,6.447766,
QUQQAW,0.000000,
QURCIS,5.949101,
BOKXOO,2.372904,
QURWIL,2.853934,
QUSCUC01,2.842817,
QUSDIT,1.178188,
QUSKOE,2.235705,
QUTNIE,2.324929,
QUTSAZ,2.399116,
QUVWAI,0.000960,
QUWLIG,2.206036,
QUWMEC,1.449491,
QUXHUO,2.148406,
BOLDAH,0.122140,
QUYFAT,4.200691,
QUYMED,0.000002,
QUYNEG,1.969440,
QUYNIK,2.309913,
QUYQEJ,6.886151,
QUYQOT,6.754147,
QUYQUZ,6.909234,
QUZVAJ,1.915429,
QUZVEN,1.878263,
RABCAZ01,1.959521,
BOLDEL,0.266762,
RACDUU,2.264772,
RACGEK,3.661315,
RACGIO,3.315391,
RACLIS,1.270402,
RACLOY,4.265539,
RADRAR,4.177883,
RADREV,4.205635,
RADRUL,2.936734,
RAFKIS,2.071587,
RAFTOH,1.670816,
BOLGOZ,5.131142,
RAFVEC,3.174039,
RAFVOJ,3.806700,
RAGWAA,2.024906,
RAGWUR01,2.177060,
RAHNOG,1.555372,
RAKCAH,2.776050,
RAKZOT,1.774240,
RALDAM,5.982069,
RALSAB,1.637002,
RALYIM,3.978131,
BOLPEX,1.536779,
RAPBUF,0.290881,
RAPCER,3.288308,
RAPGEV,1.634041,
RAPPOP,4.349446,
RAPRIJ,0.067612,
RAPTIM,2.112202,
RAQNIJ,2.767449,
RARZOC,3.211553,
RATLII,4.984197,
RATWUE,0.269125,
BONGAO,1.415866,
RAVZAQ,2.112702,
RAVZUK,3.274732,
RAXCEB,1.351773,
RAXCOL,2.148573,
RAXDOJ,3.562439,
RAXJOS,3.424922,
RAXLAG,0.000000,
RAXLEK,0.375746,
RAXSAL,3.079947,
RAYKAE,0.000000,
BONJIY,0.037504,
RAYXEU,1.902341,
REBDUA,1.991165,
REDJEP,0.586600,
REDLUI,2.345078,
REFCEN,2.793520,
REGFAK,0.000000,
REGLOF,0.446601,
REHVUY,1.886048,
REHWEJ,1.639752,
REHWOT,2.272825,
BONQAZ,2.191274,
RELWEN,2.629132,
RELWIR,2.713596,
RELWUD,3.411022,
RELXOY,4.236346,
RELYAL,3.056533,
REMDAQ,2.027824,
REMGAS,1.802796,
REMKIG,2.340576,
REMNON,2.641983,
RENHEZ,2.835817,
BONZEM,5.618754,
RENJUR,1.493449,
RENSAH,2.847500,
RENSUA,0.744867,
REPVOA,7.672645,
REQLOR,4.286330,
REQMAD,4.033408,
REQMEH,2.509618,
REQMOR,0.982642,
REQNOQ,0.923525,
REQXAN,0.678884,
BOPGAP,2.846691,
AFIMAD,2.190296,
RERPOU,3.622193,
RETLUY,3.806410,
RETSOA,2.907077,
RETSUG,2.870579,
REVBUR,2.348326,
REVRIW,0.948950,
REVTAO,0.679574,
REVXEY,6.362054,
REVYUM,0.008952,
REWDAZ,4.219190,
BOPGOE,0.199883,
REXGIN,3.355397,
REXSIY,1.159829,
REYBON,1.739615,
REYBUT,1.550226,
REYSOF,2.186773,
REZJEM,3.795297,
REZSUN,4.108587,
REZZEE,8.080169,
RICNAT,0.459014,
RICWOP,2.098144,
BOPGUK,0.243048,
RIDTAA,2.096105,
RIFHIX,4.340102,
RIFMAU,0.482512,
RIFMCN,2.371791,
RIFRUW,2.393930,
RIGRAD,1.634184,
RIHKEY,1.616616,
RIHVEL,1.518347,
RIJVEL,3.367218,
RIKPIK,2.829619,
BOPOMI,1.874420,
RILXIW,1.220075,
RIMJAA,4.000537,
RINBUO,2.630016,
RINLEF,2.101867,
RINVEP,2.931644,
RINWAM,2.386440,
RIQBUO,0.318665,
RIQGAC,0.685338,
RIQGEG,0.891714,
RIQGIK,2.620298,
BOPRUV,1.464117,
RIQJIL,2.672640,
RIQQUF,0.704245,
RIRLIO,2.053339,
RIRSEQ,7.501061,
RISCEB,0.997223,
RISCIF,1.492259,
RISYID,1.479119,
RITBAZ,1.997468,
RITCAA,1.979401,
RIVZED,1.335501,
