ID,delta_r,
GUDCOZ,2.272338,
GUDJUL,1.756865,
GUDKAS,1.696286,
GUDMOI,2.238833,
GUDMUO,2.288624,
GUDNAV,2.455968,
ASOPEF,0.059757,
GUFXIO,5.450170,
GUGBOC,2.841874,
GUGHOH,1.725464,
GUHHEW,0.807441,
GUJBOE,2.087195,
GUJBUK,1.428769,
GUJPIK,2.508415,
GUJZAM,0.437383,
GUJZEQ,0.182570,
GUKRIQ,7.922599,
ASOQII,3.614785,
GUKVUD,2.224196,
GUNDID,0.499103,
GUNXAO,3.643718,
GUPNUA,4.130805,
GUPVET,3.163704,
GUQTET,3.089349,
GURHAE,1.229607,
GUVCIM,4.490445,
GUVCOS,3.549655,
GUWBOP,1.501590,
ASORAB,4.821584,
GUXJEP,0.047127,
GUYGAL,1.476108,
GUYVEC,2.913329,
GUZXOP,4.586226,
GUZXUV,0.694870,
HABJUQ,2.838807,
HACZOB,4.107384,
HADHEA,4.216140,
HADHOK,4.626702,
HAFNAG,4.919922,
ASOSOR,6.670217,
HAFNUA,6.926646,
HAGFUR,1.205001,
HAGGAY,1.197171,
HAGMEK,3.822892,
HAGMUA,4.421086,
HAHJIJ,1.614611,
HAHXAR,0.410445,
HAJBEB,1.540186,
HAJMUA,3.130793,
HAKBOM,2.404484,
ATEQIZ,1.354849,
HAKPAL,0.351179,
HAKSES,0.035532,
HAKSIW,0.004080,
HAKSOC,0.006409,
HALBAA,1.063808,
HALDOL02,2.025821,
HALFEH,0.185681,
HALQAO,5.342025,
HALQES,1.346977,
HALSIX,0.851990,
ATIWEF,4.660783,
HAMKAJ,3.352284,
HATHAO,2.387389,
HATPIC,2.595993,
HATPOI,3.391384,
HATXOP,4.378261,
HAVFAO,0.713146,
HAVYAE,0.001428,
HAVYEI,0.000000,
HAXHAQ,4.108577,
HAXHUJ,4.106833,
AVAGUA,0.508569,
ACOQIS,1.987702,
HAZMAX,3.041401,
HCYSAC,5.339186,
HDXMOR,1.847435,
HEBKEF,2.483304,
HEBQAJ,2.433568,
HECLIK,1.885866,
HECMIL,1.581765,
HECRAI,6.020283,
HEFGOR,2.036266,
HEFGUX,2.109627,
AVALAK,1.785084,
HEGHEH,1.185875,
HEJJEO,4.854868,
HEMWOL,2.468292,
HEMXIH,3.012997,
HENPEY,3.394777,
HEPHAO,1.605837,
HEPOPH02,0.000000,
HEPTUS,5.399606,
HEPVAA,5.591865,
HEQKUM,1.580530,
AVAMER,3.323701,
HERVAE,1.445508,
HESFOB,2.505826,
HESLAT,3.522750,
HESQUS,0.718502,
HETAUR20,5.362085,
HETDIU01,3.624718,
HETGOF,3.105943,
HETVIO,1.510307,
HEVMIE,2.355752,
HEVZAJ,0.012018,
AVAPAQ,5.571291,
HEWMAY,2.109389,
HEWNIJ,2.335328,
HEXBIX,3.829344,
HEXJEA,4.182211,
HEXWIR,0.000000,
HEYROS,2.471618,
HEZRUZ,3.664576,
HEZYUJ,4.169756,
HIBZEZ,1.179618,
HICRUI,1.328144,
